uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
242.81,738.59,102.97,1696.7,1252.3,90.61,16.919,43.598
341.76,1726.7,277.68,1942.6,1407.6,24.258,373.87,53.468
268.56,2161.1,70.483,2103.7,1456.8,54.089,29.943,57.522
144.02,1921.1,142.1,2006.8,1409.6,56.146,64.135,71.923
103.53,1619.1,151.37,1847.1,1260,232.2,60.05,60.957
83.963,1190.9,157.99,1653.9,1043.7,64.61,36.963,56.862
92.252,849.25,178.53,1431.6,841.59,54.9,16.563,35.038
96.468,655.35,156.87,1171.3,571.88,39.932,176.24,19.442
117.24,494.62,156.18,949.78,352.27,24.297,19.958,19.727
118.91,439.24,142.39,793.28,244.06,11.742,18.087,28.032
91.127,368.75,122.71,688.29,231.95,9.1233,16.066,34.803
88.77,382.23,86.777,634.7,206.78,23.703,13.658,40.763
90.123,337.57,70.508,566.7,207.63,28.913,5.705,51.628
116.57,257.76,47.23,494.67,227.32,26.345,3.5933,31.747
109.38,292.92,30.782,472.41,229.77,15.637,12.795,20.597
98.502,287.01,48.433,464.72,210.75,5.7833,11.204,28.233
73.282,227.66,57.375,394.52,185.43,16.572,10.09,29.587
50.037,216.05,34.172,383.91,165.25,69.351,2.2283,23.582
45.985,238.93,36.34,432.23,153.79,38.419,0.33833,35.15
40.073,210.18,29.687,395.71,143.59,12.608,2.98,40.933
58.327,183.95,15.013,373.94,143.98,27.962,0.46333,36.062
58.507,165.03,19.797,371.13,134.08,22.02,16.425,45.148
46.937,182.38,32.577,386.27,107.81,18.297,19.91,47.048
31.907,188.4,52.928,367.36,81.03,18.98,17.087,50.552
22.417,182.61,57.573,320.6,86.478,19.305,14.598,47.623
19.257,169.57,66.395,310.98,85.683,9.5283,14.328,48.433
13.203,163.61,60.952,313.83,95.203,13.715,11.192,43.763
17.962,164.42,39.37,253.65,105.06,20.763,8.9143,37.295
28.902,141.88,34.28,248.74,99.653,20.348,5.1283,29.252
50.495,89.808,29.418,263.03,78.342,12.27,3.7267,26.503
44.505,101.61,27.76,261.73,67.543,10.888,5.5912,25.757
70.2,133.78,31.875,232.78,77.242,12.492,5.8438,26.728
86.82,123.63,38.452,228.02,69.655,19.36,5.3953,35.583
78.063,125.59,38.073,259.86,62.517,15.05,5.601,30.035
69.307,169.63,40.925,282.47,70.922,18.513,4.7883,28.837
67.202,164.89,39.913,269.21,74.122,14.288,2.94,25.315
41.187,159.15,34.098,244.24,61.162,3.495,10.02,27.44
26.828,131.76,25.42,169.61,56.938,10.193,15.595,20.248
23.735,117.54,15.168,131.7,67.688,35.667,6.6833,21.023
20.338,112.97,7.1283,103.14,79.195,13.922,4.2513,20.543
18.385,103.38,8.1783,57.172,85.942,10.077,5.8969,5.63
22.308,102.48,21.058,85.117,87.62,7.0093,9.8606,1.3283
20.582,91.635,16.67,137.21,94.497,6.4952,10.047,0.30833
25.297,71.67,17.518,175.09,89.793,6.8983,7.8633,1.7433
38.22,68.645,23.065,172.62,77.405,10.903,0.061667,15.493
50.435,94.6,18.462,194.77,77.615,0.2,6.435,5.205
65.703,89.637,18.1,196.74,84.172,4.905,21.855,4.0983
66.763,88.537,21.257,169.24,80.628,5.03,16.482,2.885
65.208,121.26,23.46,140.65,67.99,57.167,13.643,17.452
